Title,Status,Labels
Define environment and credentials strategy,Backlog,"framework,docs"
Confirm OrangeHRM API access and authentication approach,Backlog,"api,framework"
Define role-based validation scenarios,Backlog,"e2e,stability"
Define employee lifecycle test data contract,Backlog,"e2e,framework"
Define CI artifact/report retention expectations,Backlog,"ci,reporting"
Scaffold Playwright + TypeScript framework,In Progress,"framework"
Add environment-based configuration,To Do,"framework"
Implement reusable data factory,To Do,"framework,e2e"
Implement Page Object Model base classes,To Do,"framework,e2e"
Implement login page object,To Do,"e2e"
Implement employee list page object,To Do,"e2e"
Implement employee form/profile page object,To Do,"e2e"
Implement OrangeHRM API client skeleton,To Do,"api"
Implement employee lifecycle E2E test,To Do,"e2e"
Add cleanup strategy for employee test data,To Do,"e2e,stability"
Add Playwright HTML/JUnit reporting,To Do,"reporting"
Add screenshots videos and traces on failure,To Do,"reporting,stability"
Add GitHub Actions CI pipeline,To Do,"ci"
Add CI artifact publishing,To Do,"ci,reporting"
Add parallel execution settings,To Do,"ci,stability"
Add flaky detection and mitigation documentation,To Do,"stability,docs"
Add K6 login performance test,To Do,"performance"
Add K6 employee creation performance test,To Do,"performance"
Complete README setup and execution instructions,To Do,"docs"
Technical test requirements reviewed,Done,"docs"
High-level architecture selected Playwright TypeScript POM,Done,"framework"
